dataset	accuracy	time_s
ASP-POTASSCO-classification	0.204633	6.481
Amazon_employee_access	0.942173	20.642
BLE_RSSI_dataset_for_Indoor_localization	0.413120	4.045
BNG(breast-w)	0.655956	29.468
BNG(cmc)	0.426221	55.330
BNG(tic-tac-toe)	0.652908	28.669
Bank_Customer_Churn_Dataset	0.796500	4.451
Basketball_c	0.619403	1.274
Cardiovascular-Disease-dataset	0.563500	82.770
Click_prediction_small	0.831539	11.187
Credit_c	0.526220	90.672
Customer_Personality_Analysis	0.850446	1.914
Diabetic_Retinopathy_Debrecen	0.532468	1.287
E-CommereShippingData	0.596818	4.937
Employee	0.656284	2.034
FICO-HELOC-cleaned	0.529114	5.455
Firm-Teacher_Clave-Direction_Classification	0.398611	5.309
Fitness_Club_c	0.694631	1.076
GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1	0.531250	1.436
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001	0.484375	1.443
Gender_Gap_in_Spanish_WP	0.588421	2.266
GesturePhaseSegmentationProcessed	0.298734	6.150
HR_Analytics_Job_Change_of_Data_Scientists	0.832966	4.055
IBM_HR_Analytics_Employee_Attrition_and_Performance	0.840136	1.669
INNHotelsGroup	0.672364	28.662
Indian_pines	0.442318	44.595
JapaneseVowels	0.159057	4.911
KDDCup09_upselling	0.510721	4.462
MIC	0.845455	3.030
MagicTelescope	0.651420	9.763
Marketing_Campaign	0.850446	1.807
Mobile_Price_Classification	0.250000	1.613
National_Health_and_Nutrition_Health_Survey	0.839912	1.522
PhishingWebsites	0.556762	6.968
PieChart3	0.875000	1.508
Pima_Indians_Diabetes_Database	0.649351	1.123
PizzaCutter3	0.880383	1.592
Pumpkin_Seeds	0.520000	1.653
QSAR_biodegradation	0.663507	1.664
SDSS17	0.594750	164.484
Satellite	0.985294	3.567
Telecom_Churn_Dataset	0.854573	2.088
UJI_Pen_Characters	0.054945	6.934
Water_Quality_and_Potability	0.609756	1.682
Wilt	0.946114	1.673
abalone	0.391148	2.397
ada	0.751807	4.232
ada_agnostic	0.751369	3.804
ada_prior	0.751955	2.358
airlines_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True	0.555000	1.375
allbp	0.956291	2.685
allrep	0.966887	2.723
analcatdata_authorship	0.378698	1.898
artificial-characters	0.145303	4.235
autoUniv-au4-2500	0.470000	4.466
autoUniv-au7-1100	0.277273	1.322
bank	0.883003	41.378
banknote_authentication	0.556364	1.087
baseball	0.906716	1.366
car-evaluation	0.699422	1.610
churn	0.859000	2.800
cmc	0.454237	1.203
company_bankruptcy_prediction	0.967742	8.495
contraceptive_method_choice	0.433898	1.212
credit	0.543524	8.256
default_of_credit_card_clients	0.778833	22.889
delta_ailerons	0.556101	1.991
dis	0.984106	2.613
dna	0.584639	7.494
drug_consumption	0.403183	1.481
dry_bean_dataset	0.260375	7.126
eeg-eye-state	0.551068	7.607
electricity	0.575417	37.642
estimation_of_obesity_levels	0.139480	1.556
eye_movements	0.389854	6.547
eye_movements_bin	0.522996	4.313
first-order-theorem-proving	0.417484	5.070
gas-drift	0.276420	41.156
gina_agnostic	0.508646	82.843
golf_play_dataset_extended	0.789954	1.142
heloc	0.526500	5.447
house_16H	0.517050	6.950
htru	0.908380	8.685
ibm-employee-performance	0.846939	1.562
in_vehicle_coupon_recommendation	0.570004	6.718
internet_firewall	0.796216	72.784
jm1	0.806615	5.820
jungle_chess_2pcs_raw_endgame_complete	0.514614	36.344
kdd_ipums_la_97-small	0.632948	3.073
kr-vs-k	0.162331	32.740
kropt	0.162509	33.861
led24	0.096875	2.211
led7	0.131250	2.152
letter	0.054250	21.747
mammography	0.976755	3.687
maternal_health_risk	0.428571	1.115
mfeat-factors	0.107500	6.298
mfeat-fourier	0.100000	2.952
mfeat-karhunen	0.100000	2.839
mfeat-morphological	0.160000	1.311
mfeat-pixel	0.100000	6.747
mfeat-zernike	0.102500	2.193
mice_protein_expression	0.143519	2.050
microaggregation2	0.558000	12.246
mobile_c36_oversampling	0.607032	36.169
mozilla4	0.715021	3.592
naticusdroid+android+permissions+dataset	0.721834	65.720
national-longitudinal-survey-binary	0.622200	2.816
okcupid_stem	0.720015	16.712
one-hundred-plants-margin	0.018750	8.934
one-hundred-plants-shape	0.025000	8.351
one-hundred-plants-texture	0.015625	9.079
optdigits	0.103203	5.743
ozone-level-8hr	0.936884	3.225
page-blocks	0.897717	2.662
pendigits	0.105503	5.452
phoneme	0.706753	1.742
pol	0.602876	5.758
predict_students_dropout_and_academic_success	0.499435	3.120
qsar	0.663507	1.432
rice_cammeo_and_osmancik	0.572178	1.620
ringnorm	0.672297	3.895
satimage	0.245723	4.363
segment	0.201299	1.519
seismic+bumps	0.934236	1.685
shuttle	0.785948	60.073
spambase	0.605863	4.341
splice	0.518809	3.363
sports_articles_for_objectivity_analysis	0.635000	1.673
statlog	0.700000	1.327
steel_plates_faults	0.347044	1.698
sylvine	0.511220	2.776
taiwanese_bankruptcy_prediction	0.967742	8.562
telco-customer-churn	0.734564	3.558
texture	0.186364	6.204
thyroid	0.925694	3.853
thyroid-ann	0.924503	2.334
thyroid-dis	0.583929	2.001
turiye_student_evaluation	0.304983	3.867
twonorm	0.671622	3.809
vehicle	0.247059	1.197
wall-robot-navigation	0.434982	3.157
water_quality	0.886250	3.991
waveform-5000	0.337000	3.699
waveform_database_generator_version_1	0.340000	2.790
website_phishing	0.516605	1.104
wine-quality-red	0.425000	1.092
wine-quality-white	0.448980	2.375
yeast	0.313131	1.089
